route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
30395,WEEKEND,207_0_WE_1,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_2,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_3,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_4,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_5,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_6,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_7,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_8,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_9,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_10,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_11,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_12,SHP_30395_1,Q01,0
30395,WEEKEND,207_0_WE_13,SHP_30395_1,Q01,0
30395,WEEKEND,207_1_WE_1,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_2,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_3,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_4,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_5,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_6,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_7,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_8,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_9,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_10,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_11,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_12,SHP_30395_1,Q01,1
30395,WEEKEND,207_1_WE_13,SHP_30395_1,Q01,1
30399,WEEKEND,206_0_WE_1,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_2,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_3,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_4,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_5,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_6,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_7,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_8,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_9,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_10,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_11,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_12,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_13,SHP_30399_1,Q10,0
30399,WEEKEND,206_0_WE_14,SHP_30399_1,Q10,0
30399,WEEKEND,206_1_WE_1,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_2,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_3,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_4,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_5,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_6,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_7,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_8,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_9,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_10,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_11,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_12,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_13,SHP_30399_1,Q10,1
30399,WEEKEND,206_1_WE_14,SHP_30399_1,Q10,1
30401,WEEKEND,210_0_WE_1,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_2,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_3,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_4,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_5,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_6,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_7,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_8,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_9,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_10,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_11,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_12,SHP_30401_1,Q05,0
30401,WEEKEND,210_0_WE_13,SHP_30401_1,Q05,0
30401,WEEKEND,210_1_WE_1,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_2,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_3,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_4,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_5,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_6,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_7,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_8,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_9,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_10,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_11,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_12,SHP_30401_1,Q05,1
30401,WEEKEND,210_1_WE_13,SHP_30401_1,Q05,1
30402,WEEKEND,211_0_WE_1,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_2,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_3,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_4,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_5,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_6,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_7,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_8,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_9,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_10,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_11,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_12,SHP_30402_1,Q06,0
30402,WEEKEND,211_0_WE_13,SHP_30402_1,Q06,0
30402,WEEKEND,211_1_WE_1,SHP_30402_1,Q06,1
30402,WEEKEND,211_1_WE_2,SHP_30402_1,Q06,1
30402,WEEKEND,211_1_WE_3,SHP_30402_1,Q06,1
30402,WEEKEND,211_1_WE_4,SHP_30402_1,Q06,1
30402,WEEKEND,211_1_WE_5,SHP_30402_1,Q06,1
30402,WEEKEND,211_1_WE_6,SHP_30402_1,Q06,1
